Date,Volume
12-02-2020,189550
13-02-2020,276252
14-02-2020,227109
17-02-2020,414235
19-02-2020,307885
20-02-2020,403039
21-02-2020,489193
24-02-2020,680823
25-02-2020,672758
26-02-2020,531901
27-02-2020,573289
28-02-2020,745843
02-03-2020,443528
03-03-2020,466533
04-03-2020,313344
05-03-2020,362995
06-03-2020,659625
09-03-2020,504155
10-03-2020,385479
11-03-2020,404351
12-03-2020,605721
13-03-2020,551049
16-03-2020,565977
17-03-2020,434508
18-03-2020,435187
19-03-2020,325286
20-03-2020,269974
23-03-2020,362068
24-03-2020,418776
25-03-2020,254189
26-03-2020,215969
27-03-2020,159263
30-03-2020,157366
31-03-2020,176554
01-04-2020,164482
02-04-2020,167707
03-04-2020,139612
06-04-2020,192753
07-04-2020,204497
08-04-2020,125327
09-04-2020,218804
13-04-2020,166890
14-04-2020,241194
15-04-2020,186697
16-04-2020,204225
17-04-2020,227069
20-04-2020,186912
21-04-2020,248629
22-04-2020,193728
23-04-2020,201884
24-04-2020,180242
27-04-2020,146641
28-04-2020,171343
29-04-2020,159603
30-04-2020,234529
01-05-2020,168016
04-05-2020,148728
05-05-2020,184728
06-05-2020,203370
07-05-2020,250704
08-05-2020,232810
11-05-2020,202173
12-05-2020,198067
13-05-2020,211614
14-05-2020,212914
15-05-2020,200179
18-05-2020,271472
19-05-2020,185258
20-05-2020,184460
21-05-2020,238735
22-05-2020,196816
25-05-2020,313174
27-05-2020,137416
28-05-2020,164817
29-05-2020,150112
01-06-2020,146131
02-06-2020,175351
03-06-2020,256523
04-06-2020,198723
05-06-2020,273683
08-06-2020,154767
09-06-2020,182910
10-06-2020,198763
11-06-2020,205348
12-06-2020,151397
15-06-2020,200225
16-06-2020,182423
17-06-2020,140069
18-06-2020,155912
19-06-2020,181151
22-06-2020,228682
23-06-2020,194678
24-06-2020,239533
25-06-2020,152200
26-06-2020,201233
29-06-2020,130505
30-06-2020,199417
01-07-2020,263254
02-07-2020,186306
03-07-2020,184653
07-07-2020,221733
08-07-2020,247500
09-07-2020,283371
10-07-2020,223832
13-07-2020,230398
14-07-2020,253207
15-07-2020,183055
16-07-2020,196566
17-07-2020,167012
20-07-2020,177739
21-07-2020,271085
22-07-2020,382234
23-07-2020,418749
24-07-2020,300174
27-07-2020,428229
28-07-2020,434445
29-07-2020,209835
30-07-2020,271380
31-07-2020,279319
03-08-2020,178754
04-08-2020,274420
05-08-2020,366379
06-08-2020,312758
07-08-2020,398127
10-08-2020,251306
11-08-2020,565001
12-08-2020,459842
13-08-2020,349891
14-08-2020,241798
17-08-2020,289437
18-08-2020,361475
19-08-2020,443256
20-08-2020,383338
21-08-2020,355065
24-08-2020,286258
25-08-2020,274113
26-08-2020,342207
27-08-2020,467170
28-08-2020,334102
31-08-2020,245105
01-09-2020,304894
02-09-2020,332591
03-09-2020,303029
04-09-2020,304742
07-09-2020,416013
09-09-2020,227182
10-09-2020,271478
11-09-2020,205234
14-09-2020,200091
15-09-2020,239538
16-09-2020,298385
17-09-2020,273140
18-09-2020,176074
21-09-2020,386667
22-09-2020,282714
23-09-2020,411558
24-09-2020,345036
25-09-2020,230857
28-09-2020,235915
29-09-2020,217795
30-09-2020,259868
01-10-2020,262086
02-10-2020,212728
05-10-2020,177587
06-10-2020,219440
07-10-2020,188588
08-10-2020,185453
09-10-2020,229847
12-10-2020,157212
13-10-2020,267538
14-10-2020,188302
15-10-2020,213574
16-10-2020,146910
19-10-2020,159852
20-10-2020,163912
21-10-2020,201272
22-10-2020,215581
23-10-2020,172958
26-10-2020,166313
27-10-2020,153297
28-10-2020,297085
29-10-2020,225159
30-10-2020,213173
02-11-2020,164943
03-11-2020,171368
04-11-2020,293946
05-11-2020,297512
06-11-2020,246779
09-11-2020,496088
10-11-2020,264872
11-11-2020,215170
12-11-2020,209934
13-11-2020,162538
16-11-2020,222937
17-11-2020,160884
18-11-2020,209000
19-11-2020,222347
20-11-2020,186166
23-11-2020,319657
24-11-2020,367879
25-11-2020,205754
26-11-2020,282346
30-11-2020,242726
01-12-2020,203653
02-12-2020,185323
03-12-2020,180357
04-12-2020,171259
07-12-2020,209042
08-12-2020,151792
09-12-2020,219587
10-12-2020,164803
11-12-2020,153800
14-12-2020,168491
15-12-2020,173607
16-12-2020,199679
17-12-2020,219866
18-12-2020,153231
21-12-2020,232045
22-12-2020,176016
23-12-2020,162537
24-12-2020,89405
28-12-2020,196760
29-12-2020,149267
30-12-2020,133658
31-12-2020,130631
04-01-2021,273370
05-01-2021,201945
06-01-2021,366605
07-01-2021,199982
08-01-2021,443506
11-01-2021,268363
12-01-2021,240656
13-01-2021,225988
14-01-2021,257661
15-01-2021,231105
18-01-2021,331589
20-01-2021,274396
21-01-2021,196937
22-01-2021,249715
25-01-2021,211978
26-01-2021,170259
27-01-2021,195540
28-01-2021,277592
29-01-2021,276173
01-02-2021,242045
02-02-2021,235995
03-02-2021,137228
04-02-2021,279616
05-02-2021,205758
08-02-2021,177562
09-02-2021,154392
10-02-2021,176443
11-02-2021,147019
12-02-2021,171902
